Year,Week,week_start,mountain,max,min,rainfall,predicted_visitors
2026,1,2026-06-09,Charlotte Pass,4.188961038961039,-2.439935064935065,4.833116883116883,2374.404308543739
2026,1,2026-06-09,Falls Creek,3.664069264069264,-1.172943722943723,5.0,5144.783477201614
2026,1,2026-06-09,Mt. Baw Baw,4.396450216450217,-0.1056493506493506,4.953419913419913,2276.623227115033
2026,1,2026-06-09,Mt. Buller,3.8750649350649353,-0.8615584415584415,6.164242424242425,68.27036038785081
2026,1,2026-06-09,Mt. Hotham,2.5646825396825395,-2.140925925925926,4.468677248677249,1412.0415604157333
2026,1,2026-06-09,Mt. Stirling,3.8750649350649353,-0.8615584415584415,6.164242424242425,1285.372053418867
2026,1,2026-06-09,Perisher,5.575887445887446,-2.535064935064935,4.875930735930736,11230.265196440145
2026,1,2026-06-09,Selwyn,5.743939393939393,0.9941558441558441,5.7155844155844155,3266.9473619530327
2026,1,2026-06-09,Thredbo,2.915367965367966,-2.4432900432900433,3.898701298701299,5970.902485733612
2026,2,2026-06-16,Charlotte Pass,2.6294372294372295,-3.562445887445887,3.360822510822511,277.2784004499881
2026,2,2026-06-16,Falls Creek,2.0757575757575757,-1.9417748917748916,4.4004329004329,6239.465794717338
2026,2,2026-06-16,Mt. Baw Baw,3.1846320346320343,-0.6005411255411256,4.055627705627706,2296.088532235288
2026,2,2026-06-16,Mt. Buller,2.485930735930736,-1.650865800865801,3.229004329004329,7573.833471431852
2026,2,2026-06-16,Mt. Hotham,1.0592261904761904,-2.666369047619048,2.446428571428571,2375.7014589626106
2026,2,2026-06-16,Mt. Stirling,2.485930735930736,-1.650865800865801,3.229004329004329,-1778.9860704977364
2026,2,2026-06-16,Perisher,4.014069264069264,-3.5538528138528136,3.6445887445887446,16711.50308407886
2026,2,2026-06-16,Selwyn,5.3136363636363635,0.29134199134199135,3.512121212121212,1693.3852825111608
2026,2,2026-06-16,Thredbo,1.367965367965368,-3.532034632034632,2.709090909090909,14131.967659213073
2026,3,2026-06-23,Charlotte Pass,2.2692640692640693,-4.018290043290043,2.6965367965367966,2084.435770797587
2026,3,2026-06-23,Falls Creek,1.8686147186147186,-2.561255411255411,3.081385281385281,10603.682415117615
2026,3,2026-06-23,Mt. Baw Baw,2.7495670995670993,-1.2075757575757577,4.058874458874459,3107.6926956901607
2026,3,2026-06-23,Mt. Buller,1.8709956709956712,-2.1619047619047618,4.952813852813853,23767.072913536518
2026,3,2026-06-23,Mt. Hotham,0.2886904761904761,-3.539285714285714,3.2142857142857144,5513.785807612678
2026,3,2026-06-23,Mt. Stirling,1.8709956709956712,-2.1619047619047618,4.952813852813853,-859.5722919275759
2026,3,2026-06-23,Perisher,3.649025974025974,-3.6549783549783545,4.743722943722944,23746.302389203614
2026,3,2026-06-23,Selwyn,4.223593073593073,-0.18441558441558437,4.109523809523809,3579.5354593999655
2026,3,2026-06-23,Thredbo,0.9590909090909091,-4.182683982683983,1.2,21195.334070681358
2026,4,2026-06-30,Charlotte Pass,2.2876623376623377,-4.133116883116883,3.271428571428572,2333.533585833722
2026,4,2026-06-30,Falls Creek,1.546103896103896,-2.8642857142857143,3.8645021645021647,16165.892954559813
2026,4,2026-06-30,Mt. Baw Baw,2.7199134199134196,-1.309090909090909,4.5329004329004325,4871.025220058789
2026,4,2026-06-30,Mt. Buller,1.945887445887446,-2.118398268398268,4.531601731601731,32915.71505989207
2026,4,2026-06-30,Mt. Hotham,0.8023280423280423,-3.3482539682539683,2.7993650793650793,12072.509618478312
2026,4,2026-06-30,Mt. Stirling,1.945887445887446,-2.118398268398268,4.531601731601731,-1022.3178052331641
2026,4,2026-06-30,Perisher,3.648268398268398,-3.8316017316017312,4.1761904761904765,35433.09064807519
2026,4,2026-06-30,Selwyn,4.251948051948052,-0.7922077922077921,3.6467532467532466,3541.9839558244294
2026,4,2026-06-30,Thredbo,1.0077922077922077,-4.457359307359308,1.7878787878787876,29674.90111999474
2026,5,2026-07-07,Charlotte Pass,1.2025974025974027,-4.08961038961039,4.203896103896104,1357.4930484045199
2026,5,2026-07-07,Falls Creek,0.7054112554112554,-2.662121212121212,4.0372294372294375,24704.581755380204
2026,5,2026-07-07,Mt. Baw Baw,2.0713852813852816,-1.1795454545454547,4.046969696969697,7671.6561182507685
2026,5,2026-07-07,Mt. Buller,0.9415584415584416,-2.2535064935064937,6.164155844155844,43580.837222886534
2026,5,2026-07-07,Mt. Hotham,-0.12988095238095237,-2.9955952380952384,1.612857142857143,20033.576973086547
2026,5,2026-07-07,Mt. Stirling,0.9415584415584416,-2.2535064935064937,6.164155844155844,1648.9406475459054
2026,5,2026-07-07,Perisher,2.6596969696969697,-3.7574025974025975,4.519307359307359,46015.7380878758
2026,5,2026-07-07,Selwyn,3.5945887445887448,-0.5850649350649351,4.797402597402598,8196.04540892201
2026,5,2026-07-07,Thredbo,0.04848484848484851,-4.389177489177489,2.464069264069264,34648.40912757436
2026,6,2026-07-14,Charlotte Pass,0.9945887445887447,-4.677272727272728,3.6103896103896105,3505.6886043338236
2026,6,2026-07-14,Falls Creek,0.5707792207792207,-3.744199134199134,3.2826839826839826,31390.082271103565
2026,6,2026-07-14,Mt. Baw Baw,1.8679220779220778,-2.0948051948051947,7.282683982683983,6068.864651076587
2026,6,2026-07-14,Mt. Buller,1.0051948051948052,-3.364935064935065,4.023376623376624,42433.28437935264
2026,6,2026-07-14,Mt. Hotham,-0.4523809523809524,-4.328571428571428,2.0828571428571427,23030.316549937063
